https://github.com/common-workflow-language/common-workflow-language/wiki/Existing-Workflow-systems,,,,,,,,,,,workflow,4069,,,,,,,,,,,,,,,
https://github.com/pditommaso/awesome-pipeline,,,,,,,,,,,pipeline,2067,,,,,,,,,,,,,,,
https://github.com/meirwah/awesome-workflow-engines,,,0.00%,1.44%,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,
,,,0,7,,0,,0,2239,,,,,,,,,,,,,,,,,,
Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number:,Name:,Link:,Dead:,Containers required:,Interface:,Commercial:,Backend:,Narrow scope:,Ticket count:,,,,,,,,,,,,,,,,,,
374,Longbow,http://www.hecbiosim.ac.uk/longbow,,,Shell,,Process,,0,,,,,,,,,,,,,,,,,,
375,makepipe,https://github.com/kinto-b/makepipe,,,R,,Process,,0,,,,,,,,,,,,,,,,,,
376,Mara,https://github.com/mara/data-integration,,,Python,,SQL,,0,,,,,,,,,,,,,,,,,,
378,MD Studio,https://github.com/MD-Studio/MDStudio,,,JSON,,MongoDB,,0,,,,,,,,,,,,,,,,,,
379,MetaFlow,https://metaflow.org/,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
383,PipeFunc,https://github.com/pipefunc/pipefunc,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
385,pipen,https://github.com/pwwang/pyppl,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
386,pytask,https://github.com/pytask-dev/pytask,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
389,Rain,https://github.com/substantic/rain,,,Python,,Server,,0,,,,,,,,,,,,,,,,,,
394,Sake,http://tonyfischetti.github.io/sake/,,,YAML,,Process,,0,,,,,,,,,,,,,,,,,,
396,Seqtools,https://github.com/nlgranger/SeqTools,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
397,SmartPipeline,https://github.com/giacbrd/SmartPipeline,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
398,Spiff,https://github.com/knipknap/SpiffWorkflow,,,BPMN,,Process,,0,,,,,,,,,,,,,,,,,,
399,Stolos,https://github.com/sailthru/stolos,,,JSON,,Redis,,0,,,,,,,,,,,,,,,,,,
405,TAF,https://github.com/ices-tools-prod/TAF,,,R,,Process,,0,,,,,,,,,,,,,,,,,,
406,TaskGraph,https://github.com/natcap/taskgraph,,,Python,,Filesystem,,0,,,,,,,,,,,,,,,,,,
409,Yapp,https://github.com/picanumber/yapp,,,C++,,Process,,0,,,,,,,,,,,,,,,,,,
419,Domino,https://github.com/Tauffer-Consulting/domino,,,Browser,,Airflow,,0,,,,,,,,,,,,,,,,,,
421,Omega,https://github.com/omegaml/omegaml,,,Python,,MongoDB,,0,,,,,,,,,,,,,,,,,,
424,Windmill,https://github.com/windmill-labs/windmill,,,Browser,,Server,,0,,,,,,,,,,,,,,,,,,
425,FlowHub,https://www.flowhub.com.cn/,,,Browser,,Cloud,,0,,,,,,,,,,,,,,,,,,
432,CGraph,https://github.com/ChunelFeng/CGraph,,,C++,,Process,,0,crosstalk with hipmer,,,,,,,,,,,,,,,,,
433,Copper,https://github.com/copper-engine/copper-engine,,,Java,,SQL,,0,,,,,,,,,,,,,,,,,,
434,Dagu,https://github.com/yohamta/dagu,,,YAML,,Server,,0,,,,,,,,,,,,,,,,,,
435,Dapr Workflows,https://docs.dapr.io/developing-applications/building-blocks/workflow/workflow-overview/,,,"""Go"",""Javascript"",""Python"","".NET"",""Java"",""C++"",""PHP"",""Rust""",,Server,,0,,,,,,,,,,,,,,,,,,
437,DolphinScheduler,https://github.com/apache/dolphinscheduler,,,Python,,SQL,,0,,,,,,,,,,,,,,,,,,
439,easy-rules,https://github.com/j-easy/easy-rules,,,Java,,Process,,0,,,,,,,,,,,,,,,,,,
440,Flor,https://github.com/floraison/flor,,,Ruby,,SQL,,0,,,,,,,,,,,,,,,,,,
441,ForML,https://github.com/formlio/forml,,,Python,,Filesystem,,0,,,,,,,,,,,,,,,,,,
442,Goflow,https://github.com/fieldryand/goflow,,,Go,,Process,,0,,,,,,,,,,,,,,,,,,
443,Huginn,https://github.com/huginn/huginn,,,Browser,,SQL,,0,,,,,,,,,,,,,,,,,,
444,Imixs-Workflow,https://www.imixs.org/,,,BPMN,,Server,,0,,,,,,,,,,,,,,,,,,
446,iWF,https://github.com/indeedeng/iwf,,,"""Java"",""Go"",""Python""",,Server,,0,,,,,,,,,,,,,,,,,,
448,Laravel Workflow,http://laravel-workflow.com/,,,PHP,,,,0,,,,,,,,,,,,,,,,,,
449,Petri Flow,https://github.com/hooopo/petri_flow,,,Ruby,,,,0,,,,,,,,,,,,,,,,,,
452,Pallets,https://github.com/linkyndy/pallets,,,Ruby,,Redis,,0,,,,,,,,,,,,,,,,,,
454,Plynx,https://plynx.com/,,,Browser,,MongoDB,,0,,,,,,,,,,,,,,,,,,
